电影id,电影名称,出品国家,电影类别1,电影类别2,电影类别3,电影评分,男性占比,女性占比
1431732,我在汴京等你,"中国
",爱情,励志,,,0.392 ,0.608 
1431800,舒克贝塔・五角飞碟,"中国
",动画,喜剧,冒险,9.1,0.261 ,0.739 
1431819,,,,,,,,
1431842,浙南儿女英雄传之热血长虹,"中国
",剧情,,,,0.520 ,0.480 
1431886,志愿军：雄兵出击,"中国
",剧情,历史,战争,9.6,0.465 ,0.535 
1431900,李明瑞,"中国
",剧情,,,,,
1431907,茶啊二中,"中国
",动画,奇幻,喜剧,9.3,0.348 ,0.652 
1431937,不曾消失的爱,"中国
",家庭,爱情,剧情,,0.328 ,0.672 
1431946,双山阻击战,"中国
",剧情,,,,0.510 ,0.490 
1431973,朱同在三年级丢失了超能力,"中国
",喜剧,奇幻,,,0.247 ,0.753 
1432006,红毯先生,"中国
",剧情,喜剧,,8.2,0.407 ,0.593 
1432026,红色裁判,"中国
",剧情,战争,,,0.397 ,0.603 
1432500,临时劫案,中国,犯罪,喜剧,,8.3,0.526 ,0.474 
1432550,凡夫俗子,"中国
",剧情,,,,,
1432552,追・寻,"中国
",纪录片,,,,0.451 ,0.549 
1432843,追你而来,"中国
",喜剧,动作,爱情,,0.434 ,0.566 
1432927,鹦鹉杀,"中国
",犯罪,悬疑,,,0.229 ,0.771 
1432957,冰川之恋,"中国
",爱情,喜剧,,,0.427 ,0.573 
1433391,申纪兰,"中国
",剧情,传记,,,0.429 ,0.571 
1433776,变形金刚：超能勇士崛起,"美国
",动作,科幻,冒险,9,0.549 ,0.451 
1434565,末路迷途,"中国
",悬疑,,,,0.327 ,0.673 
1434993,云雾女孩,"中国
",剧情,,,,0.282 ,0.718 
1435017,李夏・在路上,"中国
",剧情,,,,0.444 ,0.556 
1435025,飞向月球,"中国
",动画,剧情,,,0.336 ,0.664 
1435032,碧血黎明,"中国
",剧情,,,,0.411 ,0.589 
1435076,谁持彩练当空舞,"中国
",剧情,,,,,
1435106,让花儿绽放,"中国
",剧情,,,,0.311 ,0.689 
1435118,毕业第一年,"中国
",青春,剧情,,,0.438 ,0.562 
1435120,险诈,"中国
",剧情,犯罪,悬疑,,0.398 ,0.602 
1435124,神兜兜和奶爸,"中国
",儿童,励志,,,0.269 ,0.731 
1435155,青春梦幻之穷小子的幸福,"中国
",爱情,剧情,,,0.432 ,0.568 
1435968,阿盖尔：神秘特工,美国,奇幻,动作,,8.7,0.422 ,0.578 
1437173,绝地重生,"中国
",历史,战争,,,0.486 ,0.514 
1437441,力量密码,"中国
",剧情,历史,革命,,0.263 ,0.737 
1438976,一路情缘,"中国
",爱情,喜剧,,,0.446 ,0.554 
1439096,长沙夜生活,"中国
",剧情,爱情,,9.3,0.265 ,0.735 
1439155,表白吧！在毕业前,"中国
",喜剧,青春,校园,,0.436 ,0.564 
1439161,热烈,"中国
",青春,运动,喜剧,9.4,0.205 ,0.795 
1439164,动物园里有什么？,"中国
",喜剧,,,8,0.376 ,0.624 
1441467,怒潮,"中国
",犯罪,动作,,8.9,0.378 ,0.622 
1441786,沙丘2,美国,科幻,动作,冒险,8.9,0.471 ,0.529 
1442365,养蜂人,美国,动作,悬疑,剧情,8.9,0.533 ,0.467 
1442386,挑战,"俄罗斯
",动作,剧情,,9,0.430 ,0.570 
1442528,憋住・别笑,"中国
",剧情,悬疑,喜剧,,0.396 ,0.604 
1443049,孔秀,"中国
",剧情,,,,0.280 ,0.720 
1443473,加油吧！乡亲们,"中国
",纪录片,,,,0.453 ,0.547 
1443511,这么多年,"中国
",爱情,青春,家庭,8.9,0.218 ,0.782 
1443556,夏来冬往,"中国
",剧情,,,,0.388 ,0.612 
1443887,,,,,,,,
1443924,奥本海默,"美国
",剧情,传记,历史,9.3,0.569 ,0.431 
1445662,堡垒,"中国
",悬疑,,,,0.359 ,0.641 
1446134,开山人,"中国
",剧情,动作,现实,9.1,0.456 ,0.544 
1446243,贝肯熊：火星任务,"中国
",喜剧,动画,冒险,9.1,0.265 ,0.735 
1446250,巧虎奇幻舞台历险记,"中国
",动画,,,,0.159 ,0.841 
1446251,午夜怪谈,"中国
",惊悚,恐怖,,,0.390 ,0.610 
1446306,最后的，最初的,"中国
",纪录片,,,,0.267 ,0.733 
1446323,末路狂花钱,"中国
",喜剧,剧情,,9,0.330 ,0.670 
1447569,幸福核桃,"中国
",剧情,,,,0.306 ,0.694 
1447584,邻里邻医,"中国
",家庭,剧情,,,0.358 ,0.642 
1448001,疯狂大营救,"法国
",动画,冒险,,,0.201 ,0.799 
1448767,灿烂的她,"中国
",剧情,家庭,,9.1,0.249 ,0.751 
1448795,最遗憾是错过你,"中国
",剧情,爱情,,,0.376 ,0.624 
1448919,坠落的审判,"法国
",剧情,家庭,,9,0.250 ,0.750 
1449034,生死赛车,"中国
",剧情,动作,爱情,,0.366 ,0.634 
1449786,速度与爱情,"泰国
",爱情,剧情,,,0.378 ,0.622 
1450443,月光武士,"中国
",剧情,,,,0.304 ,0.696 
1451323,人生路不熟,"中国
",喜剧,剧情,,9.2,0.279 ,0.721 
1451342,燃冬,"中国
",剧情,爱情,,,0.281 ,0.719 
1451356,傍晚向日葵,"中国
",爱情,,,,0.370 ,0.630 
1451499,被我弄丢的你,"中国
",爱情,剧情,,8.6,0.270 ,0.730 
1451508,超级飞侠：乐迪加速,"中国
",动画,冒险,喜剧,8.7,0.222 ,0.778 
1451694,再见，李可乐,"中国
",剧情,家庭,,9.2,0.228 ,0.772 
1452790,消失的她,"中国
",悬疑,犯罪,剧情,9.2,0.245 ,0.755 
1455531,迷你特工队之汉堡大作战,"中国
",动画,,,8.3,0.190 ,0.810 
1455536,多彩田园,"中国
",剧情,,,,0.351 ,0.649 
1455594,洋子的困惑,"中国
",剧情,家庭,,,0.348 ,0.652 
1455642,宇宙护卫队：风暴力量,"中国
",动画,冒险,,8.9,0.231 ,0.769 
1455646,萤火虫的天空,"中国
",剧情,儿童,家庭,,0.263 ,0.737 
1455715,我们的岁月,"中国
",剧情,,,,0.420 ,0.580 
1456735,火山挚恋,"美国
",纪录片,传记,,9.4,0.298 ,0.702 
1457129,北京2022,"中国
",运动,剧情,纪录片,,0.249 ,0.751 
1457130,一路幸福,"中国
",纪录片,,,,0.434 ,0.566 
1457152,乌蒙奇缘,"中国
",喜剧,奇幻,古装,,0.355 ,0.645 
1457153,黄鹤楼之盐道迷局,"中国
",古装,悬疑,,,0.435 ,0.565 
1457165,穿越烽火,"中国
",纪录片,,,,0.356 ,0.644 
1457215,横山游击队,"中国
",战争,动作,,,0.524 ,0.476 
1457792,汪汪队立大功大电影2：超能大冒险,美国,动画,,,9.2,0.235 ,0.765 
1458665,与鱼共舞,"中国
",剧情,,,,,
1458876,年会不能停！,"中国
",喜剧,剧情,,9.6,0.382 ,0.618 
1458877,,,,,,,,
1458881,陨石江湖：天降20亿,"中国
",喜剧,公路,,,0.452 ,0.548 
1458940,江豚・风时舞,"中国
",动画,爱情,奇幻,6.9,0.312 ,0.688 
1459208,边疆军魂,"中国
",剧情,,,,0.430 ,0.570 
1459756,狗神,"法国
",犯罪,剧情,,9.1,0.311 ,0.689 
1460979,,,,,,,,
1460981,追月,"中国
",剧情,,,,0.244 ,0.756 
1461072,长空之王,"中国
",剧情,动作,,9.5,0.262 ,0.738 
1461157,周永开,"中国
",剧情,传记,,,0.452 ,0.548 
1461197,带彩球的帐篷,"中国
",剧情,爱情,,,0.429 ,0.571 
1461204,仲肯,"中国
",剧情,,,,0.327 ,0.673 
1461216,红色冲浪板,"中国
",剧情,,,,0.459 ,0.541 
1461250,,,,,,,,
1461252,兄弟，请注意,,,,,,,
1461260,森巴幸福岛之我要回家,"中国
",动画,,,,0.163 ,0.837 
1461557,今夜，就算这份爱恋从世界上消失,"日本
",剧情,爱情,,9.3,0.293 ,0.707 
1461561,一闪一闪亮星星,"中国
",爱情,奇幻,,8.9,0.276 ,0.724 
1461897,欢乐丛林之外星人大冒险,"中国
",动画,冒险,合家欢,,0.197 ,0.803 
1462043,不虚此行,"中国
",剧情,,,8.8,0.400 ,0.600 
1462635,秦淮河边一间房,"中国
",纪录片,,,,0.367 ,0.633 
1462637,雪豹,"中国
",剧情,,,9.3,0.407 ,0.593 
1462645,孤军,"中国
",剧情,,,,0.485 ,0.515 
1462687,小美人鱼之大海怪传说,"中国
",奇幻,探险,动画,,0.163 ,0.837 
1462693,四季童年,"中国
",剧情,动画,,,0.495 ,0.505 
1463698,万湖会议,"德国
",剧情,历史,战争,8.5,0.470 ,0.530 
1463744,非诚勿扰3,"中国
",喜剧,爱情,,8.9,0.392 ,0.608 
1464381,再会长江,"中国
",纪录片,,,9.5,0.615 ,0.385 
1466121,新猪猪侠大电影・超级赛车,"中国
",动画,冒险,喜剧,8.7,0.257 ,0.743 
1466176,好像也没那么热血沸腾,"中国
",喜剧,剧情,,9.2,0.381 ,0.619 
1466190,安国夫人（戏曲 京剧）,"中国
",戏曲,,,,0.363 ,0.637 
1466204,拯救嫌疑人,"中国
",悬疑,犯罪,剧情,9,0.260 ,0.740 
1466232,爱无所依,"中国
",剧情,家庭,,,0.468 ,0.532 
1466394,四月女友,"日本
",爱情,剧情,,8.5,0.398 ,0.602 
1469175,童话・世界,"中国
",剧情,,,8.4,0.298 ,0.702 
1469637,疯狂元素城,"美国
",动画,喜剧,,9,0.295 ,0.705 
1469906,深城树下,"中国
",剧情,,,,0.353 ,0.647 
1469929,假如爱情欺骗了你,"中国
",剧情,,,,0.389 ,0.611 
1470053,二十二万公里路（戏曲 蟠龙梆子）,"中国
",戏曲,剧情,,,0.477 ,0.523 
1470061,蚂蚁传奇之神木奇缘,"中国
",剧情,动画,儿童,,0.234 ,0.766 
1470071,矩阵梦迷宫,"中国
",悬疑,动作,惊悚,,0.356 ,0.644 
1470379,我爱你！,"中国
",剧情,爱情,家庭,9.5,0.319 ,0.681 
1470629,哥斯拉大战金刚2：帝国崛起,"美国
",动作,冒险,科幻,9.3,0.586 ,0.414 
1470659,少年的我,"中国
",剧情,,,,0.396 ,0.604 
1474261,超级英雄美猴王：齐天儿,"中国
",动画,,,,0.245 ,0.755 
1474410,爆裂点,中国,动作,警匪,,8.8,0.408 ,0.592 
1475035,莫斯科行动,"中国
",剧情,犯罪,动作,9.1,0.430 ,0.570 
1475123,光明使者周维忠,"中国
",传记,,,,0.538 ,0.462 
1475131,棉花糖和云朵妈妈1宝贝芯计划,"中国
",喜剧,动画,冒险,9,0.211 ,0.789 
1475137,长安三万里,"中国
",动画,历史,,9.4,0.351 ,0.649 
1475189,最后一夜,"中国
",爱情,喜剧,,,0.439 ,0.561 
1475199,家园梦想,"中国
",纪录片,,,,0.348 ,0.652 
1477400,,,,,,,,
1477585,爸爸是仿生人,"中国
",科幻,青春,亲情,,0.335 ,0.665 
1478238,半糖初恋,,,,,,,
1478828,你是我的英雄,"中国
",剧情,,,,0.427 ,0.573 
1478901,热辣滚烫,"中国
",喜剧,剧情,,9.2,0.231 ,0.769 
1479147,照明商店,"中国
",剧情,,,8.9,0.260 ,0.740 
1479602,疯狂星期一,"日本
",喜剧,科幻,,8,0.345 ,0.655 
1480580,刀剑神域进击篇：暮色黄昏,"日本
",动作,动画,,8.3,0.646 ,0.354 
1481790,星愿,"美国
",动画,,,8.6,0.203 ,0.797 
1481984,哆啦A梦：大雄与天空的理想乡,"日本
",动画,冒险,,9,0.429 ,0.571 
1482089,我本是高山,"中国
",剧情,,,,0.277 ,0.723 
1482315,名侦探柯南：黑铁的鱼影,"日本
",动画,悬疑,动作,9,0.456 ,0.544 
1482745,出戏,"中国
",剧情,,,,,
1483129,白日之下,"中国
",剧情,犯罪,,8.4,0.235 ,0.765 
1484347,憨兔的奇幻之旅,"中国
",喜剧,奇幻,动画,,0.271 ,0.729 
1484755,唢呐客,"中国
",剧情,,,,0.359 ,0.641 
1485072,曾经炽热的我们,"中国
",青春,爱情,,,0.404 ,0.596 
1486791,威尼斯惊魂夜,"美国
",剧情,悬疑,惊悚,8.3,0.315 ,0.685 
1486816,生命底色,"中国
",剧情,,,,0.469 ,0.531 
1486880,爷爷的牛背梁,"中国
",剧情,,,,0.283 ,0.717 
1487151,我们一起摇太阳,"中国
",剧情,爱情,家庭,9.5,0.361 ,0.639 
1487331,金色面具英雄,中国,动画,奇幻,冒险,,0.345 ,0.655 
1487483,功夫精灵,"中国
",励志,奇幻,功夫,,0.400 ,0.600 
1487818,烽火塘田,"中国
",革命,历史,,,0.478 ,0.522 
1487901,冰雪女王5：融冰之战,"俄罗斯
",动画,冒险,奇幻,,0.233 ,0.767 
1488253,进球吧！少年,"中国
",剧情,励志,,,0.601 ,0.399 
1488646,间谍过家家 代号：白,"日本
",动画,喜剧,剧情,9.3,0.373 ,0.627 
1488960,周处除三害,"中国
",动作,犯罪,悬疑,9.3,0.426 ,0.574 
1489348,黄貔：天降财神猫,"中国
",动画,喜剧,,,0.256 ,0.744 
1489349,第二十条,"中国
",喜剧,剧情,家庭,9.5,0.253 ,0.747 
1489410,没有一顿火锅解决不了的事,"中国
",剧情,悬疑,喜剧,8.5,0.249 ,0.751 
1489770,宝贝不哭,"中国
",剧情,,,,0.332 ,0.668 
1489930,阿莫阿依,"中国
",剧情,,,,0.307 ,0.693 
1489942,穿过月亮的旅行,"中国
",爱情,剧情,,8.4,0.271 ,0.729 
1490406,金的音像店,"美国
",纪录片,,,8.9,0.301 ,0.699 
1490501,青春季,"中国
",剧情,,,,0.382 ,0.618 
1490684,煞面迷影,"中国
",恐怖,惊悚,悬疑,,0.394 ,0.606 
1490806,蜡笔小新：新次元！超能力大决战,"日本
",动画,喜剧,奇幻,9,0.386 ,0.614 
1490912,狭路“箱”逢,"中国
",喜剧,,,,0.361 ,0.639 
1490986,你就在我身边,"中国
",剧情,爱情,,,0.361 ,0.639 
1491012,银河写手,"中国
",喜剧,剧情,,,0.416 ,0.584 
1491079,替身纸人,"中国
",恐怖,惊悚,,,0.378 ,0.622 
1491083,大“反”派,"中国
",喜剧,剧情,,7.1,0.472 ,0.528 
1491249,错过你的那些年,中国,剧情,爱情,,7.8,0.347 ,0.653 
1491251,一路向南,"中国
",喜剧,公路,,,0.352 ,0.648 
1491810,,,,,,,,
1491816,,,,,,,,
1491846,落地生根,"中国
",纪录片,,,,0.349 ,0.651 
1493351,飞鸭向前冲,"美国
",动画,喜剧,,9.3,0.245 ,0.755 
1493738,井冈星火,"中国
",历史,,,,0.496 ,0.504 
1494533,凯利和超级可乐,"中国
",动画,奇幻,冒险,,0.205 ,0.795 
1494678,花火时光,"中国
",剧情,,,,,
1495020,命中注定与你为敌,"中国
",剧情,家庭,,,0.440 ,0.560 
1495728,飞驰人生2,"中国
",喜剧,剧情,,9.5,0.379 ,0.621 
1495758,猪猪侠大电影・星际行动,"中国
",动画,冒险,喜剧,9,0.275 ,0.725 
1496581,不孤岛,"中国
",纪录片,,,,0.585 ,0.415 
1497948,戏杀,"中国
",悬疑,喜剧,剧情,7.7,0.343 ,0.657 
1499026,看不见的他们,"中国
",恐怖,惊悚,,,0.362 ,0.638 
1499403,余下都是春天,"中国
",剧情,,,,0.387 ,0.613 
1499619,浴血阻击,"中国
",剧情,战争,革命,,,
1499685,,,,,,,,
1499749,高中的我们,"中国
",青春,爱情,,,0.427 ,0.573 
1499992,烈焰卫士,"中国
",剧情,,,,0.424 ,0.576 
1500039,雪豹和她的朋友们,"中国
",纪录片,,,9.5,0.285 ,0.715 
1500215,越野英雄之苍天般的阿拉善,"中国
",剧情,,,,,
1500234,熊出没・逆转时空,"中国
",动画,喜剧,科幻,9.4,0.328 ,0.672 
1500500,萌鼠大冒险,"中国
",动画,,,,0.167 ,0.833 
1500501,舞者,"中国
",剧情,,,,0.343 ,0.657 
1500511,我们若只如初见,"中国
",剧情,,,,0.372 ,0.628 
1500656,,,,,,,,
1500903,开心超人之时空营救,"中国
",动画,,,9,0.297 ,0.703 
1501146,,,,,,,,
1501472,我和班主任的故事,"中国
",剧情,,,,0.365 ,0.635 
1502000,高原之春,"中国
",剧情,,,,,
1502014,里奇不眠夜,"中国
",爱情,悬疑,惊悚,,0.292 ,0.708 
1502343,画魔人,"中国
",惊悚,恐怖,,,0.383 ,0.617 
1502534,看不见的顶峰,"中国
",冒险,运动,家庭,,0.360 ,0.640 
1502628,守护者,"中国
",剧情,,,,,
1502714,海安舅舅,"中国
",青春,励志,,,0.505 ,0.495 
1503001,老师，别哭,"中国
",剧情,,,,0.322 ,0.678 
1504098,泰勒・斯威夫特：时代巡回演唱会,"美国
",音乐,纪录片,,9.6,0.312 ,0.688 
1504135,小镇双雄,"中国
",文艺,剧情,,,0.435 ,0.565 
1504186,中国车手周冠宇,"中国
",纪录片,运动,励志,,0.667 ,0.333 
1504448,蚂蚁传奇之终极一战,"中国
",剧情,动画,儿童,,0.229 ,0.771 
1504483,多日根的婚事,"中国
",剧情,,,,0.376 ,0.624 
1504629,朱英国,"中国
",剧情,传记,,,0.412 ,0.588 
1505363,还是觉得你最好2,中国,剧情,,,7.5,0.389 ,0.611 
1505569,大道十年,"中国
",纪录片,,,,0.356 ,0.644 
1505746,诡摇铃,"中国
",恐怖,惊悚,,,0.386 ,0.614 
1507670,过山榜,"中国
",剧情,,,,0.387 ,0.613 
1509537,人民万岁,"中国
",纪录片,,,,0.686 ,0.314 
1509825,一出婚礼,"中国
",剧情,,,,0.476 ,0.524 
1510511,我向星星许个愿,"中国
",剧情,儿童,,,0.300 ,0.700 
1510946,爸爸，我听话了,"中国
",剧情,,,,0.316 ,0.684 
1511023,午夜6号房,"中国
",恐怖,惊悚,,,0.387 ,0.613 
1511483,,,,,,,,
1511793,永远不会走,"中国
",剧情,青春,西部,,,
1511969,周立波回清溪,"中国
",剧情,传记,历史,,0.434 ,0.566 
1512176,琬翠,"中国
",剧情,,,,0.490 ,0.510 
1512418,美好人间,"中国
",剧情,亲情,成长,,0.419 ,0.581 
1514412,红手印,"中国
",剧情,,,,0.476 ,0.524 
1514521,执笔为刀,"中国
",悬疑,古装,历史,,0.427 ,0.573 
1514522,并购风云,"中国
",剧情,,,,,
1515202,涅重生,"中国
",剧情,,,,,
1515512,踪迹,"中国
",剧情,,,,0.449 ,0.551 
1515588,古堡守灵人,"中国
",惊悚,恐怖,,,0.371 ,0.629 
1515688,战歌行,"中国
",剧情,,,,0.367 ,0.633 
1515993,,,,,,,,
1516739,北极荒原,"奥地利
",纪录片,,,,0.318 ,0.682 
1517316,遇见美好,"中国
",剧情,,,,0.397 ,0.603 
1517373,最近的远方,"中国
",剧情,,,,0.351 ,0.649 
1518388,替身纸人2,"中国
",恐怖,惊悚,悬疑,,0.393 ,0.607 
1519246,大话情圣,"意大利
",爱情,喜剧,,,0.366 ,0.634 
1519594,苏武牧羊（戏曲・豫剧）,中国,,,,,,
1519724,重山之外,"中国
",家庭,亲情,剧情,,0.420 ,0.580 
1520211,贞胜,"中国
",剧情,,,,0.492 ,0.508 
1521582,我，就是风!,"中国
",励志,成长,,,0.498 ,0.502 
1521657,,,,,,,,
1522020,幸福慢车,"中国
",剧情,,,,0.542 ,0.458 
1522256,我要当老师,"中国
",剧情,青春,喜剧,,0.343 ,0.657 
1524534,,,,,,,,
1525094,长风万里,"中国
",剧情,,,,0.434 ,0.566 
1525122,,,,,,,,
1526140,,,,,,,,
225980,哈尔的移动城堡,"日本
",爱情,奇幻,动画,9.6,0.302 ,0.698 
24242,追鱼,"中国
",爱情,奇幻,戏曲,,,
337182,思念爱,中国,剧情,爱情,,,0.350 ,0.650 
341210,闪电侠,"美国
",动作,冒险,奇幻,9,0.612 ,0.388 
341215,夺宝奇兵：命运转盘,"美国
",动作,冒险,,8.7,0.561 ,0.439 
341224,银河护卫队3,"美国
",动作,科幻,冒险,9.2,0.490 ,0.510 
341244,敢死队4：最终章,"美国
",动作,冒险,,8.2,0.699 ,0.301 
342288,抗战中的文艺（舞台纪录电影・话剧）,"中国
",纪录片,,,,0.267 ,0.733 
343035,速度与激情10,"美国
",动作,,,8.8,0.553 ,0.447 
344012,,,,,,,,
344160,我爸没说的那件事,中国,剧情,,,8.6,0.376 ,0.624 
344942,芭比,"美国
",喜剧,冒险,奇幻,8.7,0.204 ,0.796 
345319,爱情三点半,"中国
",爱情,,,,0.422 ,0.578 
345471,我们那些年,"中国
",剧情,爱情,,,0.431 ,0.569 
346119,暗杀风暴,中国,悬疑,犯罪,,8.3,0.365 ,0.635 
346288,封神第一部,"中国
",神话,动作,史诗,9.4,0.410 ,0.590 
346380,我来自纽约,"中国
",剧情,家庭,,,0.371 ,0.629 
3933,谁与争锋,"中国
",,,,,,
475180,功夫熊猫4,"美国
",动画,动作,冒险,8.5,0.416 ,0.584 
487018,申纪兰,中国,传记,,,,,
531370,,,,,,,,
5664,功夫皇帝方世玉,"中国
",,,,,,
58747,数码宝贝02：最初的召唤,"日本
",动画,,,7,0.583 ,0.417 
633283,GT赛车：极速狂飙,"美国
",冒险,运动,动作,9.2,0.566 ,0.434 
655790,忍者神龟：变种大乱斗,"美国
",动画,动作,冒险,,0.399 ,0.601 
78645,九龙城寨之围城,中国,动作,犯罪,,9.3,0.555 ,0.445 
